Map,Date,Time,Waiting Time,Duration,Result,Score,Ping,Kills,Assists,Death,MVPS,HS Percentage,Points
Mirage, 2017-11-11, 21:44:22, 00:19, 41:45, Lost, 16:12,44,27,4,18,3,0.37,71
Cobblestone, 2017-11-11, 20:58:38, 00:10, 41:03, Tie, 15:15,47,25,7,19,4,0.64,68
Overpass, 2017-11-12, 20:56:06, 00:26, 40:27, Won, 16:7,47,23,2,15,4,0.21,58
Train, 2017-11-12, 20:02:02, 00:17, 44:56, Lost, 10:16,47,16,1,16,6,0.06,53
Train, 2017-11-20, 20:56:49, 01:20, 33:28, Lost, 16:8,47,24,2,20,3,0.25,59
Overpass, 2017-11-20, 19:59:05, 01:49, 52:52, Tie, 15:15,47,26,3,22,6,0.42,62
Cobblestone, 2017-11-20, 18:56:31, 00:27, 52:10, Tie, 15:15,46,15,5,21,2,0.46,39
Inferno, 2017-12-02, 22:07:52, 01:59, 53:13, Tie, 15:15,45,22,3,17,3,0.59,54
Dust II, 2017-12-02, 21:23:46, 00:14, 32:13, Won, 16:6,44,16,1,10,4,0.37,35
Inferno, 2017-12-07, 21:51:18, 00:27, 45:43, Lost, 11:16,48,28,2,13,5,0.37,62
Mirage, 2017-12-07, 21:05:26, 00:10, 35:41, Lost, 16:10,45,20,5,22,1,0.4,48
Overpass, 2017-12-12, 21:28:05, 03:42, 39:09, Lost, 7:16,51,16,1,12,2,0.5,55
Mirage, 2017-12-12, 20:43:36, 00:35, 30:58, Lost, 16:4,51,22,0,17,2,0.31,44
Overpass, 2017-12-16, 21:32:00, 00:10, 49:57, Lost, 16:13,40,21,5,22,2,0.42,54
Mirage, 2017-12-17, 21:19:48, 03:45, 42:08, Lost, 16:12,47,23,0,20,3,0.56,57
Inferno, 2017-12-17, 20:38:35, 01:11, 33:22, Lost, 5:16,41,21,3,8,2,0.28,58
Train, 2017-12-26, 22:03:36, 04:08, 28:21, Won, 16:1,47,21,1,6,5,0.28,48
Cobblestone, 2017-12-26, 21:13:08, 00:12, 40:53, Won, 16:9,44,24,0,15,2,0.45,51
Mirage, 2017-12-26, 20:32:47, 01:08, 33:17, Lost, 16:8,43,11,3,23,0,0.36,29
Overpass, 2017-12-26, 19:43:47, 00:11, 43:00, Lost, 11:16,45,24,2,16,2,0.37,61
Inferno, 2018-01-11, 20:19:15, 01:15, 32:23, Lost, 2:16,47,16,5,9,2,0.25,47
Mirage, 2018-01-11, 20:07:19, 01:45, 07:09, Won, 7:0,53,6,0,2,0,0.5,12
Mirage, 2018-01-12, 19:15:20, 00:16, 46:27, Won, 16:14,39,36,6,20,6,0.55,90
Cache, 2018-01-13, 20:54:28, 01:11, 49:48, Lost, 16:14,46,32,9,22,5,0.46,80
Overpass, 2018-01-13, 20:09:24, 03:19, 40:33, Lost, 9:16,51,25,1,15,5,0.36,63
